time,target,master_offset,freq,path_delay
1736678818.912622279,0.5000381469726562,-246961,-271304,810694
1736678819.913968037,0.49959707260131836,1170546,1072115,810694
1736678820.913022595,0.5003302097320557,-940106,-687373,896943
1736678821.912744510,0.5002093315124512,-458734,-488033,896943
1736678822.912726691,0.4999995231628418,158738,-8181,761747
1736678823.913110270,0.4997446537017822,193261,73963,761747
1736678824.918056976,0.49878501892089844,3280724,3219405,761747
1736678825.913264607,0.5009384155273438,-2964616,-2041718,774543
1736678826.913349649,0.5004193782806396,-949680,-916167,774543
1736678827.913205736,0.5001554489135742,-129365,-380756,774543
1736678828.913261687,0.49993038177490234,395981,105780,761747
1736678829.913750948,0.49986767768859863,522972,351566,774543
1736678830.913335163,0.500030517578125,-194507,-209022,774543
1736678831.913954303,0.4996957778930664,879899,807032,774543
1736678832.913106105,0.5002255439758301,-682595,-491492,774543
1736678833.913441262,0.5000946521759033,-189230,-202906,780698
1736678834.913620067,0.5000355243682861,-21722,-92167,780698
1736678835.913264133,0.499981164932251,146705,69744,780698
1736678836.913244761,0.500037431716919,-90867,-123817,793703
1736678837.916236558,0.4999120235443115,296837,236627,750363
1736678838.913672893,0.5000619888305664,-174547,-145706,889469
1736678839.913492701,0.49999308586120605,39878,16355,798589
1736678840.913448162,0.5000052452087402,31277,19718,798589
1736678841.914525801,0.5000641345977783,-160310,-162486,864310
1736678842.913914454,0.4999704360961914,135847,85578,864310
1736678843.913910600,0.5000360012054443,-61547,-71062,864310
1736678844.913492825,0.5000243186950684,-31615,-59594,885815
1736678845.914082445,0.4999852180480957,72034,34570,885815
1736678846.913956234,0.49997591972351074,36865,21011,885815
1736678847.914157333,0.49991798400878906,229199,224405,1006685
1736678848.914081329,0.4998924732208252,-218659,-154693,885815
1736678849.918396372,0.499072790145874,2483726,2482094,885815
1736678850.914038389,0.5007660388946533,-2418907,-1675421,885815
1736678851.913939496,0.5003175735473633,-720561,-702747,885815
1736678852.914692931,0.500105619430542,-28498,-226853,885815
