data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,attack_value,PTPts
2976501.373,1739518716.683024,-75926.0,-140335.0,4300025.0,0.0510604381561279,-1466356.0,3378697.0,0.0,0.0,2888757.724060438
3135447.058,1739518717.705824,-27939.0,-115125.0,4440281.0,0.0732462406158447,-472326.0,2525675.0,0.0,0.0,3061690.2062462405
3197138.844,1739518718.677319,164714.0,69146.0,4388636.0,0.0444147586822509,-1361533.0,3373281.0,0.0,0.0,3208033.698414759
3222305.689,1739518719.648952,-26528.0,-72682.0,4538276.0,0.0174245834350585,-879556.0,3003041.0,0.0,0.0,3177586.6134245833
3272780.391,1739518720.723511,96786.0,42674.0,4526699.0,0.0398917198181152,-110931.0,2208840.0,0.0,0.0,3273666.99289172
3204672.505,1739518721.653144,190237.0,165161.0,4407673.0,0.0208396911621093,-472686.0,2436450.0,0.0,0.0,3266462.2118396913
3181809.895,1739518722.728861,-114521.0,-82526.0,4578285.0,0.043968915939331,274818.0,1802849.0,0.0,0.0,3137107.930968916
3140484.883,1739518723.648917,259444.0,257082.0,4318223.0,0.0170173645019531,-487210.0,2357619.0,0.0,0.0,3238096.4880173644
2950053.629,1739518724.671622,100779.0,176251.0,4269631.0,0.0393998622894287,349071.0,1358661.0,0.0,0.0,3026936.995399862
2813949.301,1739518725.694898,48246.0,153951.0,4159487.0,0.0628526210784912,320814.0,1259064.0,0.0,0.0,2876940.969852621
2671732.494,1739518726.666796,74112.0,194291.0,4005766.0,0.0346133708953857,270633.0,1150840.0,0.0,0.0,2751992.3006133707
2476914.302,1739518727.742796,119172.0,261585.0,3802301.0,0.0064804553985595,-1895013.0,3109995.0,0.0,0.0,2589605.7274804553
2349646.396,1739518728.663189,-146280.0,31884.0,3861263.0,0.0309956073760986,-876698.0,2081068.0,0.0,0.0,2361119.1879956075
2331254.526,1739518729.737317,-65861.0,68419.0,3770232.0,0.0538570880889892,-1906489.0,3061627.0,0.0,0.0,2348749.8818570883
2402696.118,1739518730.709508,-287848.0,-173326.0,3942986.0,0.0261058807373046,-1986225.0,3350126.0,0.0,0.0,2312079.374105881
2631932.318,1739518731.630588,-258463.0,-230295.0,4122365.0,0.0493481159210205,-1415315.0,3037765.0,0.0,0.0,2504385.924348116
2908806.553,1739518732.704802,-217400.0,-266771.0,4339851.0,0.0210425853729248,-839892.0,2762275.0,0.0,0.0,2762093.5990425856
3161850.79,1739518733.626527,-55694.0,-170285.0,4478077.0,0.0448143482208251,-1086317.0,3214640.0,0.0,0.0,3057194.1898143482
3271815.762,1739518734.752384,160403.0,29103.0,4467920.0,0.0680477619171142,607334.0,1513275.0,0.0,0.0,3262022.171047762
3250574.92,1739518735.672758,161278.0,78099.0,4459331.0,0.0410628318786621,-800355.0,2878162.0,0.0,0.0,3272303.899062832
3245805.346,1739518736.694346,17513.0,-17282.0,4560295.0,0.0624089241027832,-84231.0,2208652.0,0.0,0.0,3226565.680408924
3207903.789,1739518737.66673,200289.0,170748.0,4424133.0,0.0341503620147705,488338.0,1493318.0,0.0,0.0,3269487.786150362
3000318.802,1739518738.639433,287610.0,318155.0,4194046.0,0.0578336715698242,-1076760.0,2774087.0,0.0,0.0,3137552.0838336716
2813038.919,1739518739.713111,-20924.0,95904.0,4218252.0,0.0805425643920898,-1471087.0,3123019.0,0.0,0.0,2856230.3345425646
