攻击开始,时间戳：1739545862407 ms,模式：3,目标值：5794159,持续时间：38秒
攻击结束,时间戳：1739545900417 ms

攻击开始,时间戳：1739546361620 ms,模式：1,目标值：6497038,持续时间：23秒
攻击结束,时间戳：1739546384629 ms

攻击开始,时间戳：1739546826803 ms,模式：2,目标值：7387577,持续时间：34秒
攻击结束,时间戳：1739546860817 ms

攻击开始,时间戳：1739547309984 ms,模式：1,目标值：5237685,持续时间：36秒
攻击结束,时间戳：1739547345993 ms

攻击开始,时间戳：1739547792137 ms,模式：1,目标值：3718351,持续时间：31秒
攻击结束,时间戳：1739547823169 ms

攻击开始,时间戳：1739548339350 ms,模式：2,目标值：7708043,持续时间：28秒
攻击结束,时间戳：1739548367360 ms

攻击开始,时间戳：1739548711477 ms,模式：3,目标值：5503761,持续时间：32秒
攻击结束,时间戳：1739548743487 ms

攻击开始,时间戳：1739549294811 ms,模式：1,目标值：5622639,持续时间：37秒
攻击结束,时间戳：1739549331827 ms

攻击开始,时间戳：1739549724024 ms,模式：1,目标值：7736559,持续时间：30秒
攻击结束,时间戳：1739549754031 ms

攻击开始,时间戳：1739550058123 ms,模式：2,目标值：4952168,持续时间：38秒
攻击结束,时间戳：1739550096137 ms

攻击开始,时间戳：1739550577316 ms,模式：2,目标值：4109617,持续时间：25秒
攻击结束,时间戳：1739550602325 ms

攻击开始,时间戳：1739551039509 ms,模式：2,目标值：5743015,持续时间：28秒
攻击结束,时间戳：1739551067516 ms

攻击开始,时间戳：1739551574711 ms,模式：2,目标值：2371611,持续时间：20秒
攻击结束,时间戳：1739551594719 ms

攻击开始,时间戳：1739551984897 ms,模式：1,目标值：5410064,持续时间：22秒
攻击结束,时间戳：1739552006905 ms

攻击开始,时间戳：1739552513087 ms,模式：1,目标值：3413137,持续时间：28秒
攻击结束,时间戳：1739552541095 ms

攻击开始,时间戳：1739552876207 ms,模式：2,目标值：4208339,持续时间：37秒
攻击结束,时间戳：1739552913220 ms

攻击开始,时间戳：1739553273355 ms,模式：2,目标值：6967137,持续时间：26秒
攻击结束,时间戳：1739553299364 ms

攻击开始,时间戳：1739553638502 ms,模式：3,目标值：7190234,持续时间：26秒
攻击结束,时间戳：1739553664512 ms

攻击开始,时间戳：1739554108691 ms,模式：2,目标值：7580696,持续时间：31秒
攻击结束,时间戳：1739554139701 ms

攻击开始,时间戳：1739554554846 ms,模式：3,目标值：5503191,持续时间：30秒
