data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,rolling_mean,rolling_std,rolling_range,change_count
2246331.178,1739515569.552995,-70545.0,65915.0,4284028.0,0.0262026786804199,-1054217.0,2678151.0,0.0,97468.4,86461.04111505944,333966.0,4.0
2268044.986,1739515570.575694,-205236.0,-89939.0,4329171.0,0.0542163848876953,-352244.0,2126638.0,0.0,16445.6,45277.04352870227,330144.0,4.0
2378307.723,1739515571.547666,-117230.0,-63504.0,4391625.0,0.0315256118774414,302308.0,1529900.0,0.0,-29362.0,108379.11328295688,188175.0,4.0
2463144.746,1739515572.570603,-58328.0,-39771.0,4390537.0,0.0597188472747802,373513.0,1566081.0,0.0,-64402.6,117434.08466539858,129444.0,4.0
2419053.629,1739515573.593865,267950.0,269009.0,4171645.0,0.088134765625,-1289147.0,2996909.0,0.0,-76363.0,113634.82302445848,129444.0,4.0
2258927.999,1739515574.56575,-25941.0,55503.0,4233704.0,0.0643692016601562,-1560335.0,3206445.0,0.0,-36677.8,146967.51228077585,219980.0,4.0
2317905.978,1739515575.589149,-246725.0,-173064.0,4392835.0,0.0418496131896972,21943.0,1833708.0,0.0,-27757.0,146374.61042407595,219980.0,4.0
2436365.222,1739515576.611786,56591.0,56235.0,4299061.0,0.0186250209808349,335907950.0,-334098688.0,0.0,-36054.8,166243.74879766157,221190.0,4.0
2400413.69,1739515577.583848,66148.0,82769.0,4243114.0,0.0981585979461669,-726868.0,2515543.0,0.0,-1290.6,161634.4586584185,221190.0,4.0
2450885.474,1739515578.555939,-233061.0,-196595.0,4521737.0,0.0234363079071044,-482139.0,2553102.0,0.0,23604.6,156953.96053556597,221190.0,4.0
2632798.385,1739515579.579619,-41871.0,-75324.0,4612834.0,0.0510463714599609,-1383899.0,3516029.0,0.0,-76597.6,137439.7714411662,288033.0,4.0
2793053.866,1739515580.55221,-178009.0,-224023.0,4810139.0,0.027402639389038,-8845.0,2388564.0,0.0,-79783.6,128026.26683106869,369720.0,4.0
2977318.993,1739515581.575526,64721.0,-34696.0,4814999.0,0.0554699897766113,-1004581.0,3440743.0,0.0,-66040.4,140571.81345063454,567025.0,4.0
3021991.129,1739515582.547354,99828.0,19828.0,4836335.0,0.0830132961273193,-334681.0,2775097.0,0.0,-64414.4,124946.78374692163,571885.0,4.0
3042108.688,1739515583.570346,43129.0,-6923.0,4897287.0,0.0597953796386718,610624.0,1912213.0,0.0,-57678.4,104786.91987791224,314598.0,4.0
2907322.483,1739515584.542274,495735.0,458622.0,4527102.0,0.03629732131958,-632092.0,2711207.0,0.0,-2440.4,96019.49857346683,284453.0,4.0
2606592.605,1739515585.565518,375.0,111982.0,4578741.0,0.0137088298797607,497094.0,1490164.0,0.0,105080.8,251549.14249963168,370185.0,4.0
2445130.781,1739515586.590882,215502.0,327222.0,4271757.0,0.0415713787078857,336486.0,1357583.0,0.0,140757.6,202657.25705190032,370185.0,4.0
2161819.858,1739515587.562695,113147.0,289517.0,4080922.0,0.067704439163208,-1548234.0,2982110.0,0.0,170913.8,202794.98954165512,625530.0,4.0
2030698.26,1739515588.585907,-267830.0,-57516.0,4201707.0,0.0443062782287597,-1449580.0,2972341.0,0.0,173577.6,183805.66533026125,816365.0,4.0
2130156.951,1739515589.557704,-219624.0,-89659.0,4242386.0,0.0217180252075195,-501710.0,2169245.0,0.0,111385.8,201106.1399182034,497819.0,4.0
