Seconds_sin,Seconds_cos,master_offset,freq,path_delay,OT
-0.916757891729761,-0.3994433225768131,-11762,-127,4415971,2634549.52
-0.9167869374652986,-0.3993766534150422,41939,50045,4415971,2641230.167
-0.9168159745834873,-0.3993099907947839,-17318,3370,4452814,2533157.109
-0.9168450065571097,-0.39924332674610047,-34321,-18829,4452814,2515636.208
-0.9168740418505374,-0.39917664182747337,29302,34498,4485302,2585450.114
-0.9169030669960584,-0.39910996696802953,523,14510,4485302,2712364.193
-0.9169320868992671,-0.399043290902823,93861,108004,4433869,2779496.915
-0.9169611012630987,-0.3989766143151315,4522,46824,4415628,2725125.802
-0.9169901073325359,-0.3989099435389699,-9446,34212,4415628,2697104.3
-0.9170191200338121,-0.39884324426071555,55507,96332,4347915,2698280.121
-0.9170481214841157,-0.39877655758890157,-20877,36600,4364851,2601212.163
-0.9170771174539579,-0.39870987025949023,-67297,-16083,4364851,2645175.778
-0.917106108017716,-0.3986431821022372,-19646,11378,4402148,2638175.011
-0.917135089547021,-0.3985765014668799,28524,53655,4334435,2455518.233
-0.9171640761250728,-0.3985097959469024,45576,79264,4334435,2356647.348
-0.9171930535417518,-0.39844309823958196,-77974,-30613,4402148,2338991.076
-0.9172220245135114,-0.398376402096479,-164660,-140692,4538061,2357245.824
-0.9172509906352827,-0.3983097038468841,13467,-11963,4538061,2367252.863
-0.9172799541533638,-0.3982429983168602,170592,149203,4413869,2391884.602
-0.917308911545398,-0.3981762936180371,-156458,-126670,4639377,2367301.578
-0.9173378640347786,-0.3981095869331836,-215015,-232164,4867862,2685106.751
-0.9173668115620958,-0.3980428783992928,410907,329253,4456068,2742956.007
-0.9173957542161614,-0.397976167811793,-19476,22142,4639377,2794614.536
-0.917424687307684,-0.39790946598239946,165706,201482,4456068,2783699.6
-0.9174536265111968,-0.39784273677101784,-19885,65602,4459627,2712311.299
-0.9175114804802922,-0.39770929482080564,64153,114872,4459627,2615028.406
-0.9175403945456115,-0.39764258370688055,-130500,-60535,4487166,2584926.373
-0.9175693031757219,-0.3975758718403571,-51600,-20785,4487166,2485999.428
-0.9175982184925653,-0.3975091312401143,508,15843,4509549,2354702.446
-0.9176271232206229,-0.3974424017764635,-12296,3191,4509549,2331062.271
-0.9176560222822219,-0.3973756720902405,43442,55240,4487166,2475136.031
-0.9176849143906045,-0.3973089451546604,-26358,-1527,4509549,2523423.354
-0.91771380093701,-0.3972422177585684,-2084,14840,4509549,2553517.571
-0.9177426896707183,-0.39717547199689435,-37645,-21347,4512707,2535755.378
-0.9177715707406688,-0.39710873062702307,49287,54292,4512707,2558785.11
-0.917800444769026,-0.3970419922146498,35470,55261,4497402,2605507.144
-0.9178293158658176,-0.39697524726018524,12825,43257,4497402,2603481.407
-0.9178581732195452,-0.39690852076275623,6666,40945,4497402,2616979.481
-0.9178870413920587,-0.39684175592360876,-10481,25798,4497402,2543863.444
-0.9179158953196157,-0.39677501070454063,-172325,-139190,4633354,2522549.748
-0.9179447472592741,-0.3967082567569113,-10271,-28834,4633354,2516793.135
-0.9179735932958014,-0.3966415031380285,-48552,-70196,4757693,2453432.974
-0.9180024327798727,-0.39657475135242204,10866,-25343,4757693,2442436.899
-0.918031269174224,-0.3965079933852072,78067,45117,4757693,2484558.867
-0.9180601014593048,-0.3964412315949628,72658,63128,4757693,2504075.114
-0.9180889283284595,-0.3963744690071509,21977,34245,4757693,2482190.759
-0.9181177496416374,-0.3963077059470024,10631,29492,4757693,2433697.745
-0.9181465599402406,-0.39624095506383755,363325,385375,4372529,2486903.019
-0.9181753775406308,-0.39617417391612,50279,181327,4372529,2650157.051
-0.9182041848488748,-0.39610740327089744,-111794,34337,4342218,2699137.597
-0.9182329867263929,-0.39604063186436816,-117897,-5304,4372529,2588898.959
-0.9182617842717209,-0.395973857149832,-76362,862,4372529,2728119.854
-0.9182905757523637,-0.39590708314501316,-62957,-8641,4372529,2983068.676
-0.9183193644628569,-0.3958403022085226,-29703,5725,4372529,2717051.75
-0.9183481474916114,-0.3957735210934728,-7019,19499,4345533,2705567.33
-0.9183769241832466,-0.3957067413220544,19361,43773,4345533,2544076.967
-0.9184056941774468,-0.3956399637327378,-56750,-26530,4383160,2499498.57
-0.918434461245527,-0.39557317957192023,-16008,-2813,4383160,2540268.355
-0.9184632288690947,-0.3955063807517609,19899,28292,4383160,2462532.537
-0.9184919873423546,-0.3954395898084712,-126275,-111913,4515911,2541757.033
-0.9185207417093364,-0.3953727950298686,28597,5077,4515911,2594153.446
-0.9185494905785895,-0.39530599964813823,30482,15541,4515911,2609743.599
-0.9185782322947129,-0.3952392075115025,50418,44622,4515911,2635022.665
-0.9186069723248682,-0.3951724059143537,-99760,-90431,4655340,2612147.462
-0.9186357076956246,-0.39510560176560244,7252,-13347,4655340,2639503.493
-0.9186644367519953,-0.39503879891365,72691,54268,4618857,2654883.978
-0.918693156443017,-0.3949720044569821,40139,43523,4618857,2703287.586
-0.9187218752254966,-0.3949051987276782,40318,55744,4618857,2682780.121
-0.9187505943542394,-0.39483837880040445,32887,60408,4618857,2656809.412
-0.918779310967535,-0.3947715513281342,166557,203944,4406350,2642070.055
-0.9188080098166135,-0.39470475180422365,-253817,-166463,4618857,2630217.449
-0.9188367096351594,-0.3946379366290497,-59040,-47831,4661142,2632749.314
-0.9188654025014292,-0.39457112424236823,212043,205540,4458535,2791274.577
-0.9188940925145241,-0.3945043050993348,76393,133503,4458535,2855972.197
-0.9189227812594022,-0.39443747550465447,-23950,56078,4427333,2952916.037
-0.9189514625301477,-0.39437064991414184,-175799,-102956,4496458,3010197.974
-0.918980138045661,-0.3943038243253264,-32034,-11931,4496458,2998559.529
-0.9190088056044109,-0.3942370038714709,-557,9936,4499530,2965756.636
-0.9190374765747,-0.39417016205086824,92853,103179,4433734,2959018.233
-0.919066137613576,-0.3941033299682501,18363,56545,4433734,2958489.073
-0.9190947998884269,-0.39403648158267335,-7939,35752,4407655,2623530.764
-0.9191234418913264,-0.39396966706314,-17656,23653,4407655,2459235.54
-0.919152087712286,-0.39390283021850214,97823,133835,4296919,2445398.387
-0.9191807347145573,-0.39383597719051344,12575,77934,4296919,2477593.292
-0.9192093717082034,-0.39376913409231296,-96342,-27210,4296919,2506349.497
-0.9192380042001448,-0.3937022880732782,19559,59788,4296919,2543683.81
-0.9192666309955424,-0.3936354419232412,27981,74078,4266923,2568068.218
-0.9192952528640055,-0.39356859384572873,-42122,12369,4266923,2578644.451
-0.9193238697394848,-0.39350174399514276,-123935,-82081,4349925,2565574.451
-0.9193524836874102,-0.39343488754530936,61449,66123,4266923,2617182.556
-0.919381087273523,-0.39336804186887714,-64664,-41555,4349925,2650662.007
-0.9194096941121254,-0.39330117514780977,-39243,-35534,4349925,2653477.013
-0.9194382874782613,-0.39323432647601125,70741,62678,4349925,2786295.574
-0.9194668827032827,-0.3931674600115169,41027,54186,4349925,2817447.988
-0.9194954738118836,-0.3931005897215874,-6552,18915,4349925,2831781.45
-0.9195240567206189,-0.393033725158613,-2161,21340,4349925,2818143.535
-0.919552635952207,-0.39296685574402807,48541,71394,4303019,2929776.92
-0.9195812059760851,-0.3928999944204238,19863,57278,4303019,2976969.236
-0.9196097755849237,-0.3928331206105797,-26234,17140,4328288,2955972.515
-0.9196383402720667,-0.3927662448602712,-23843,11661,4267835,2941053.833
-0.9196669016019094,-0.39269936350590623,27703,56054,4267835,2915270.995
-0.9196954561526482,-0.3926324845605267,19880,56542,4258955,2884387.815
-0.9197240007240608,-0.3925656155244978,-10458,32168,4234072,2718207.133
-0.9197525472803146,-0.3924987283691153,3854,43343,4234072,2891944.133
-0.9197810877594134,-0.3924318419803755,80436,121081,4129119,2976063.587
-0.9198096273261775,-0.39236494425225915,-20775,44001,4129119,2814770.071
-0.919838160603167,-0.3922980477878807,48314,106857,4129119,2706238.169
-0.9198666777477191,-0.3922311756724264,-209813,-136776,4218547,2674819.54
-0.9198951974191495,-0.3921642841529349,-39086,-28993,4218547,2797619.968
-0.9199237182338995,-0.39209737646497594,328,-1304,4243430,2844177.231
