master_offset,freq,path_delay,date,OT
-222574,-112272,3156846,2025-01-17 09:16:49.570880000,3881801.155
-149862,-106332,3156846,2025-01-17 09:16:50.570857984,4021778.947
-1270,-2698,3176714,2025-01-17 09:16:51.570864896,4126178.252
33206,31397,3176714,2025-01-17 09:16:52.570889984,4148055.263
26923,35075,3193573,2025-01-17 09:16:53.570898176,4145067.444
41548,57777,3193573,2025-01-17 09:16:54.570902016,4132621.056
379595,408289,3193573,2025-01-17 09:16:55.570440192,3997737.866
-439956,-297384,3250385,2025-01-17 09:16:56.570915072,3833357.838
-123800,-113215,3250385,2025-01-17 09:16:57.570959616,4104282.937
-266067,-292622,3561445,2025-01-17 09:16:58.570918400,4301465.421
722721,616346,3250385,2025-01-17 09:16:59.570411264,4347277.816
-267220,-156778,3250385,2025-01-17 09:17:00.570925312,3995156.765
86953,117229,3466328,2025-01-17 09:17:01.570452480,4098085.773
-458978,-402616,3541322,2025-01-17 09:17:02.570925568,4168314.332
81854,522,3466328,2025-01-17 09:17:03.570953728,4478012.706
501625,444849,3466328,2025-01-17 09:17:04.570495232,4371920.652
44571,138283,3466328,2025-01-17 09:17:05.570511104,4049762.128
-63344,43739,3466328,2025-01-17 09:17:06.570503680,3969786.368
-133016,-44936,3526635,2025-01-17 09:17:07.570438912,3982589.286
-158335,-110160,3639522,2025-01-17 09:17:08.570547200,4076907.566
-441446,-440771,3694808,2025-01-17 09:17:09.570997760,4317019.442
362689,230930,3689517,2025-01-17 09:17:10.570514176,4583000.172
181669,158717,3689517,2025-01-17 09:17:11.570461440,4403519.565
-50995,-19447,3811190,2025-01-17 09:17:12.570522368,4328540.638
-9803,6447,3811190,2025-01-17 09:17:13.570533632,4369625.286
-309081,-295772,3772346,2025-01-17 09:17:14.570927104,4484533.581
357992,278577,3772346,2025-01-17 09:17:15.570525184,4635109.547
175196,203178,3714138,2025-01-17 09:17:16.570370560,4408936.414
-21151,59390,3714138,2025-01-17 09:17:17.570595584,4279021.834
-13789,60407,3714138,2025-01-17 09:17:18.570614784,4248835.108
175229,245288,3432795,2025-01-17 09:17:19.570487296,4161597.667
