攻击开始,时间戳：1739917760007 ms,模式：2,目标值：5651429,持续时间：59秒
攻击结束,时间戳：1739917819037 ms

攻击开始,时间戳：1739918344355 ms,模式：2,目标值：3426702,持续时间：43秒
攻击结束,时间戳：1739918387371 ms

攻击开始,时间戳：1739918826618 ms,模式：2,目标值：4565637,持续时间：54秒
攻击结束,时间戳：1739918880637 ms

攻击开始,时间戳：1739919397875 ms,模式：3,目标值：4593425,持续时间：23秒
攻击结束,时间戳：1739919420882 ms

攻击开始,时间戳：1739919709014 ms,模式：1,目标值：5567625,持续时间：29秒
攻击结束,时间戳：1739919738021 ms

攻击开始,时间戳：1739920050170 ms,模式：3,目标值：4715571,持续时间：60秒
攻击结束,时间戳：1739920110226 ms

攻击开始,时间戳：1739920357472 ms,模式：3,目标值：5982589,持续时间：39秒
攻击结束,时间戳：1739920396482 ms

攻击开始,时间戳：1739920861680 ms,模式：3,目标值：2984908,持续时间：40秒
攻击结束,时间戳：1739920901695 ms

攻击开始,时间戳：1739921177870 ms,模式：2,目标值：5308554,持续时间：40秒
攻击结束,时间戳：1739921217882 ms

攻击开始,时间戳：1739921666114 ms,模式：2,目标值：3663774,持续时间：39秒
攻击结束,时间戳：1739921705129 ms

攻击开始,时间戳：1739922241383 ms,模式：2,目标值：4209974,持续时间：54秒
攻击结束,时间戳：1739922295403 ms

攻击开始,时间戳：1739922690539 ms,模式：1,目标值：2443476,持续时间：27秒
攻击结束,时间戳：1739922717568 ms

攻击开始,时间戳：1739923037767 ms,模式：2,目标值：3635733,持续时间：42秒
攻击结束,时间戳：1739923079810 ms

攻击开始,时间戳：1739923410984 ms,模式：3,目标值：2718597,持续时间：44秒
攻击结束,时间戳：1739923454996 ms

攻击开始,时间戳：1739923980169 ms,模式：1,目标值：2703020,持续时间：60秒
攻击结束,时间戳：1739924040212 ms

攻击开始,时间戳：1739924303365 ms,模式：2,目标值：4014571,持续时间：20秒
攻击结束,时间戳：1739924323372 ms

攻击开始,时间戳：1739924897573 ms,模式：2,目标值：5037090,持续时间：60秒
攻击结束,时间戳：1739924957613 ms

攻击开始,时间戳：1739925460884 ms,模式：2,目标值：2964393,持续时间：53秒
攻击结束,时间戳：1739925513915 ms

攻击开始,时间戳：1739925777119 ms,模式：2,目标值：5056307,持续时间：48秒
攻击结束,时间戳：1739925825141 ms

攻击开始,时间戳：1739926255358 ms,模式：2,目标值：4215569,持续时间：31秒
攻击结束,时间戳：1739926286369 ms

攻击开始,时间戳：1739926816649 ms,模式：2,目标值：5254818,持续时间：52秒
